,강남구,보증금,월세
668,강남구 대치동,1500,145
669,강남구 대치동,5000,300
670,강남구 대치동,5000,602
671,강남구 대치동,15000,500
672,강남구 대치동,3000,210
673,강남구 대치동,6000,380
674,강남구 대치동,3000,280
675,강남구 대치동,5000,320
676,강남구 대치동,2000,250
677,강남구 대치동,8000,600
678,강남구 대치동,7000,500
679,강남구 대치동,5000,310
680,강남구 대치동,36000,1800
681,강남구 대치동,3000,200
682,강남구 대치동,2000,160
683,강남구 대치동,20000,1000
684,강남구 대치동,3000,200
685,강남구 대치동,3000,200
686,강남구 대치동,1500,100
687,강남구 대치동,5000,450
688,강남구 대치동,2000,200
689,강남구 대치동,2000,180
690,강남구 대치동,4000,284
691,강남구 대치동,15000,500
692,강남구 대치동,20000,1000
693,강남구 대치동,4200,250
694,강남구 대치동,6000,380
695,강남구 대치동,5000,400
696,강남구 대치동,3200,160
697,강남구 대치동,10000,460
698,강남구 대치동,2000,200
699,강남구 대치동,10000,460
700,강남구 대치동,3500,363
701,강남구 대치동,3000,300
702,강남구 대치동,2500,170
703,강남구 대치동,3500,330
704,강남구 대치동,2000,200
705,강남구 대치동,4000,250
706,강남구 대치동,4000,200
707,강남구 대치동,1000,180
708,강남구 대치동,2000,200
709,강남구 대치동,4500,580
710,강남구 대치동,5000,300
711,강남구 대치동,4400,440
712,강남구 대치동,5000,350
713,강남구 대치동,6000,420
714,강남구 대치동,7500,600
715,강남구 대치동,4000,200
716,강남구 대치동,70000,2500
717,강남구 대치동,2000,138
718,강남구 대치동,1000,180
719,강남구 대치동,10000,430
720,강남구 대치동,24000,1800
721,강남구 대치동,15000,735
722,강남구 대치동,3000,200
723,강남구 대치동,5000,350
724,강남구 대치동,4000,200
725,강남구 대치동,10000,700
726,강남구 대치동,10000,460
727,강남구 대치동,10000,430
728,강남구 대치동,1000,70
729,강남구 대치동,1000,160
730,강남구 대치동,3000,200
731,강남구 대치동,2000,170
732,강남구 대치동,25000,1300
733,강남구 대치동,5000,520
734,강남구 대치동,5000,400
735,강남구 대치동,3000,210
736,강남구 대치동,1000,150
737,강남구 대치동,2000,170
738,강남구 대치동,2000,200
739,강남구 대치동,2000,200
740,강남구 대치동,5000,400
741,강남구 대치동,3000,200
742,강남구 대치동,5000,220
743,강남구 대치동,10000,460
744,강남구 대치동,5000,400
745,강남구 대치동,5000,470
746,강남구 대치동,25000,1300
747,강남구 대치동,9500,960
748,강남구 대치동,10000,952
749,강남구 대치동,8000,390
750,강남구 대치동,4000,370
751,강남구 대치동,10000,460
752,강남구 대치동,1000,100
753,강남구 대치동,10000,460
754,강남구 대치동,5000,270
755,강남구 대치동,1000,120
756,강남구 대치동,81273,8127
757,강남구 대치동,3000,200
758,강남구 대치동,5000,520
759,강남구 대치동,10000,400
760,강남구 대치동,3000,270
761,강남구 대치동,10000,460
762,강남구 대치동,3000,270
763,강남구 대치동,5000,300
764,강남구 대치동,40000,2500
765,강남구 대치동,2000,120
766,강남구 대치동,1000,140
767,강남구 대치동,8000,600
768,강남구 대치동,2000,140
769,강남구 대치동,10000,1100
770,강남구 대치동,1500,150
771,강남구 대치동,10000,952
772,강남구 대치동,5000,410
773,강남구 대치동,3000,350
774,강남구 대치동,5500,320
775,강남구 대치동,2000,170
776,강남구 대치동,5000,380
777,강남구 대치동,5000,320
778,강남구 대치동,8000,350
779,강남구 대치동,1000,70
780,강남구 대치동,3500,330
781,강남구 대치동,5000,520
782,강남구 대치동,12000,500
783,강남구 대치동,4000,269
784,강남구 대치동,1000,140
785,강남구 대치동,12000,700
786,강남구 대치동,10000,550
787,강남구 대치동,5000,400
788,강남구 대치동,24000,1100
789,강남구 대치동,12000,700
790,강남구 대치동,3000,205
791,강남구 대치동,8000,600
792,강남구 대치동,12000,750
793,강남구 대치동,12000,750
794,강남구 대치동,3000,350
795,강남구 대치동,7000,520
796,강남구 대치동,4000,350
797,강남구 대치동,5000,258
798,강남구 대치동,3000,200
799,강남구 대치동,3000,280
800,강남구 대치동,20000,1190
801,강남구 대치동,10000,800
802,강남구 대치동,700,60
803,강남구 대치동,1000,70
804,강남구 대치동,12000,790
805,강남구 대치동,25000,1800
806,강남구 대치동,15000,2000
807,강남구 대치동,5000,380
808,강남구 대치동,3000,230
809,강남구 대치동,10000,1100
810,강남구 대치동,6000,380
811,강남구 대치동,10000,450
812,강남구 대치동,3500,200
813,강남구 대치동,6000,380
814,강남구 대치동,25000,1300
815,강남구 대치동,8000,600
816,강남구 대치동,3500,330
817,강남구 대치동,8000,600
818,강남구 대치동,10000,1100
819,강남구 대치동,2000,300
820,강남구 대치동,6000,380
821,강남구 대치동,70000,2500
822,강남구 대치동,3000,200
823,강남구 대치동,5000,300
824,강남구 대치동,4000,200
825,강남구 대치동,3000,280
826,강남구 대치동,5000,380
827,강남구 대치동,20000,1000
828,강남구 대치동,2000,150
829,강남구 대치동,4000,350
830,강남구 대치동,2000,200
831,강남구 대치동,5000,410
832,강남구 대치동,5000,217
833,강남구 대치동,3000,220
834,강남구 대치동,3000,291
835,강남구 대치동,4500,260
836,강남구 대치동,25000,1800
837,강남구 대치동,10000,850
838,강남구 대치동,3500,330
839,강남구 대치동,3000,210
840,강남구 대치동,3000,300
841,강남구 대치동,2000,190
842,강남구 대치동,5000,350
843,강남구 대치동,20000,1200
844,강남구 대치동,5000,270
845,강남구 대치동,25000,1800
846,강남구 대치동,25000,1300
847,강남구 대치동,5000,300
848,강남구 대치동,5000,380
849,강남구 대치동,1000,140
850,강남구 대치동,5000,320
851,강남구 대치동,4000,400
852,강남구 대치동,6000,395
853,강남구 대치동,9500,830
854,강남구 대치동,5000,280
855,강남구 대치동,1000,70
856,강남구 대치동,10000,720
857,강남구 대치동,6000,300
858,강남구 대치동,5000,320
859,강남구 대치동,3000,200
860,강남구 대치동,25000,1800
861,강남구 대치동,5000,700
862,강남구 대치동,5000,360
863,강남구 대치동,25000,1300
864,강남구 대치동,6000,360
865,강남구 대치동,1000,70
866,강남구 대치동,1000,160
867,강남구 대치동,3000,200
868,강남구 대치동,4000,350
869,강남구 대치동,4000,200
870,강남구 대치동,1000,70
871,강남구 대치동,4000,300
872,강남구 대치동,5000,290
873,강남구 대치동,2000,200
874,강남구 대치동,2000,200
875,강남구 대치동,2000,145
876,강남구 대치동,3500,330
877,강남구 대치동,4000,350
878,강남구 대치동,5000,380
879,강남구 대치동,5000,450
880,강남구 대치동,50000,5948250
881,강남구 대치동,5000,300
882,강남구 대치동,6000,480
883,강남구 대치동,15000,900
884,강남구 대치동,25000,1300
885,강남구 대치동,10000,650
886,강남구 대치동,3000,300
887,강남구 대치동,4000,360
888,강남구 대치동,3000,330
889,강남구 대치동,36000,1800
890,강남구 대치동,10000,540
891,강남구 대치동,25000,1300
892,강남구 대치동,5000,400
893,강남구 대치동,3000,250
894,강남구 대치동,25000,1300
895,강남구 대치동,3500,330
896,강남구 대치동,3000,270
897,강남구 대치동,4000,300
898,강남구 대치동,10000,577
899,강남구 대치동,5000,380
900,강남구 대치동,1500,120
901,강남구 대치동,25000,1800
902,강남구 대치동,25000,1300
903,강남구 대치동,3000,270
904,강남구 대치동,6000,350
905,강남구 대치동,6000,380
906,강남구 대치동,1500,170
907,강남구 대치동,2000,170
908,강남구 대치동,5000,380
